unique_row_id,match_id,match_alternative_id,match_type,match_date,home_team_id,home_team,visiting_team_id,visiting_team,set_number,home_team_score,visiting_team_score,rally_number,point_won_by,serving_team,receiving_team,setter_position,home_setter_position,visiting_setter_position,possession_number,video_time,code,custom_code,point_phase,attack_phase,team,player_id,player_name,player_number,skill,skill_type,skill_subtype,evaluation_code,attack_code,set_code,set_type,start_zone,end_zone,end_subzone,num_players_numeric,start_coordinate,mid_coordinate,end_coordinate,start_coordinate_x,start_coordinate_y,mid_coordinate_x,mid_coordinate_y,end_coordinate_x,end_coordinate_y,home_p1,home_p2,home_p3,home_p4,home_p5,home_p6,visiting_p1,visiting_p2,visiting_p3,visiting_p4,visiting_p5,visiting_p6,file_id,file_name,created_by,create_datetime
10,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,1,0,2,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,0,182.0,*z5,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
11,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,1,0,2,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,1,201.0,*08SM+~~~54A~~~1,1,Reception,,Belluno Volley,BAS-ENR-00,ENRICO BASSO,8.0,Serve,Jump-float serve,Jump Float,+,,,,5,4,A,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
12,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,1,0,2,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,2,201.0,a18RM-~~~54AR,,Serve,,Personal Time San Donà di Piave,MAR-MAN-01,Manuel Marzorati,18.0,Reception,Jump-float serve reception,Jump Float,-,,,,5,4,A,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
13,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,1,0,2,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,2,203.0,a01EH+~~B,,Serve,,Personal Time San Donà di Piave,BEL-ALE-97,Alessandro Bellucci,1.0,Set,High ball set,,+,,,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
14,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,1,0,2,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,2,204.0,a06AH=V6~2~~H3,,Serve,Transition,Personal Time San Donà di Piave,BAR-GIO-04,Gioele Barbon,6.0,Attack,High ball attack,Hard,=,V6,,,2,,,3.0,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
15,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,1,0,2,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,3,204.0,*$$&H#,,Reception,,Belluno Volley,,,,,,,#,,,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
16,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,2,0,2,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,3,207.0,*p02:00,,Reception,,Belluno Volley,,,,Point,,,0,,,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
17,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,2,0,3,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,1,223.0,*08SM-~~~57A~~N2,N2,Reception,,Belluno Volley,BAS-ENR-00,ENRICO BASSO,8.0,Serve,Jump-float serve,Jump Float,-,,,,5,7,A,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
18,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,2,0,3,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,2,223.0,a02RM#~~~57AM3,,Serve,,Personal Time San Donà di Piave,CUN-EDO-04,Edoardo Cunial,2.0,Reception,Jump-float serve reception,Jump Float,#,,,,5,7,A,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
19,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,2,0,3,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,2,225.0,a01EQ+K7C~~~2,,Serve,,Personal Time San Donà di Piave,BEL-ALE-97,Alessandro Bellucci,1.0,Set,Quick ball set,,+,,K7,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
20,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,2,0,3,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,2,226.0,a18AQ-X7~46~H2,,Serve,Transition,Personal Time San Donà di Piave,MAR-MAN-01,Manuel Marzorati,18.0,Attack,Quick ball attack,Hard,-,X7,,,4,6,,2.0,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
21,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,2,0,3,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,3,226.0,*02BQ+~~~~2~~2,,Reception,,Belluno Volley,MOZ-MAT-02,MATTEO MOZZATO,2.0,Block,Quick ball block,,+,,,,,2,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
22,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,2,0,3,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,3,226.0,*12DQ+~~~~7,,Reception,,Belluno Volley,BER-ALE-88,ALEXANDER BERGER,12.0,Dig,Quick ball dig,Jump Spin,+,,,,,7,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
23,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,2,0,3,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,3,228.0,*03ET+~~F,,Reception,,Belluno Volley,MAR-SEB-96,SEBASTIANO MARSILI,3.0,Set,Head ball set,,+,,,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
24,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,2,0,3,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,3,229.0,*12AM#X5~44~H1,,Reception,Transition,Belluno Volley,BER-ALE-88,ALEXANDER BERGER,12.0,Attack,Half ball attack,Hard,#,X5,,,4,4,,1.0,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
25,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,2,0,3,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,4,229.0,a$$&H=,,Serve,,Personal Time San Donà di Piave,,,,,,,=,,,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
26,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,3,0,3,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,5,232.0,*p03:00,,Reception,,Belluno Volley,,,,Point,,,0,,,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
27,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,3,0,4,Personal Time San Donà di Piave,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,1,249.0,*08SM=~~~5~~~~N3,N3,Reception,,Belluno Volley,BAS-ENR-00,ENRICO BASSO,8.0,Serve,Jump-float serve,Jump Float,=,,,,5,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
28,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,3,0,4,Personal Time San Donà di Piave,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,2,249.0,a$$&H#,,Serve,,Personal Time San Donà di Piave,,,,,,,#,,,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
29,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,3,1,4,Personal Time San Donà di Piave,Belluno Volley,Personal Time San Donà di Piave,5.0,5,5,2,252.0,ap03:01,,Serve,,Personal Time San Donà di Piave,,,,Point,,,0,,,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
30,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,3,1,5,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,4.0,5,4,0,251.0,az4,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,6.0,2.0,18.0,1.0,7.0,8.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
31,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,3,1,5,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,4.0,5,4,1,299.0,a06SQ=~~~96~~~~1,1,Serve,,Personal Time San Donà di Piave,BAR-GIO-04,Gioele Barbon,6.0,Serve,Jump serve,Jump Spin,=,,,,9,6,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,6.0,2.0,18.0,1.0,7.0,8.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
32,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,3,1,5,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,5.0,5,4,2,299.0,*$$&H#,,Reception,,Belluno Volley,,,,,,,#,,,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,6.0,2.0,18.0,1.0,7.0,8.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
33,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,4,1,5,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,5.0,5,4,2,302.0,*p04:01,,Reception,,Belluno Volley,,,,Point,,,0,,,,,,,,,,,,,,,,,8.0,6.0,12.0,2.0,3.0,18.0,6.0,2.0,18.0,1.0,7.0,8.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
34,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,4,1,6,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,4.0,4,4,0,305.0,*z4,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,8.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
35,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,4,1,6,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,4.0,4,4,1,318.0,*06SQ+~~~66B~~~1,1,Reception,,Belluno Volley,GIA-STE-89,STEFANO GIANNOTTI,6.0,Serve,Jump serve,Jump Spin,+,,,,6,6,B,,,,,,,,,,,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,8.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
36,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,4,1,6,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,4.0,4,4,2,318.0,a07RQ-~~~66BM4,,Serve,,Personal Time San Donà di Piave,FED-MAR-06,Marco Fedrici,7.0,Reception,Jump serve reception,Jump Spin,-,,,,6,6,B,,,,,,,,,,,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,8.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
37,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,4,1,6,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,4.0,4,4,2,321.0,a01ET+~~F~~~2,,Serve,,Personal Time San Donà di Piave,BEL-ALE-97,Alessandro Bellucci,1.0,Set,Head ball set,,+,,,,,,,,,,,,,,,,,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,8.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
38,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,4,1,6,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,4.0,4,4,2,322.0,a02AM-X5~46~H2,,Serve,Transition,Personal Time San Donà di Piave,CUN-EDO-04,Edoardo Cunial,2.0,Attack,Half ball attack,Hard,-,X5,,,4,6,,2.0,,,,,,,,,,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,8.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
39,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,4,1,6,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,4.0,4,4,3,322.0,*04DT+~~~47,,Reception,,Belluno Volley,HOF-NIC-00,NICOLO' HOFFER,4.0,Dig,Head ball dig,Standing Float,+,,,,4,7,,,,,,,,,,,,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,8.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
40,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,4,1,6,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,4.0,4,4,3,325.0,*03ET+~~F,,Reception,,Belluno Volley,MAR-SEB-96,SEBASTIANO MARSILI,3.0,Set,Head ball set,,+,,,,,,,,,,,,,,,,,6.0,12.0,2.0,3.0,18.0,8.0,6.0,2.0,18.0,1.0,7.0,8.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
